image_path,image_name,raw_text,sugar_g,calories_kcal,fat_g,protein_g,sodium_mg
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746604953808_jpg.rf.f7d54be68f2100e0494ee79db1528700.jpg,1746604953808_jpg.rf.f7d54be68f2100e0494ee79db1528700.jpg,"katsium propionat
Wheat lour(contains ghuten)war
INGREDIENTS:
prepionate),antioxidant.as
stitute(containsantioxidant(ascorbylpalmita
preservative calcium ptopionate.
INFORMASINILAI GIZI/NUTRITONFACTS
ngsize（1072)
TUMLAHPERSAJIAN/AMOUNTPERSERVING
EnergiTotal350kkal/TotalCaleries350kcal
Energi dariLamak100kal/CaloresfromFat
Lemak Total/TotalFat
11g
KarbohidratTotal/TotalCarolyrate
Protein/Protein
Serat PanganDietary Fiber
5g
Garam(Natrlum)/Sodlum
Gula/Sugar
200mg
15g",200.0,,11.0,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746604974570_jpg.rf.67d0ab9720c42603a839538626cd1eed.jpg,1746604974570_jpg.rf.67d0ab9720c42603a839538626cd1eed.jpg,"burgs
Tanpa Pengawet
Tanpa Penguat Rasa
ahan yang dicetak tebal
INFORMASI NILAI GIZI
Takaran Saj:20g
2Sajian perKemasan
JUMLAHPERSAJIAN
Energi Total
110kkal
Energidari Lemak
30kkal
60kkal
Energidari LemakJenuh
%AKG+
Lemak Total
10%
Lemak Trans
Lemak Jenuh
16%
Kolesterol
0
Protein
0
9
12
9
aPlo
aat:
Karbohidrat Total
Serat Pangan
3
B%e
Gula
50
2
mg
3%
Garam(Natrium)
elling
lebihtinggiataulebihrendah.
B
99
Kaml:
.com
@lemonilo
Lemonilo",50.0,110.0,30.0,0.0,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746605006783_jpg.rf.a5813c73bed80d0b35badbdbc1047da0.jpg,1746605006783_jpg.rf.a5813c73bed80d0b35badbdbc1047da0.jpg,"15g
00kkal
6u
2.5g
13%
10
SratTotal
su
3%
49
350g
2%
ingredients:
gs.Wheat Flour Margarine (Contains
ocolate Paste (Contains Milk),
oloring:AnnaltoExlract CI No.75120
ndCurcuminCI75300.AntioxidantBHA
nd Ascorbyl Palmitale)LeaveningAgent
Contains allergun,see matorials in bold
AmmoniumHydrogen Carbonale.Sall
Cakelat Pasta (Mengandung Susu),
posisi:
Telur.Tepung Terigu.Margarin
AnatoCl75120danKurkuminC176300.
(Menge
AndungPewarna:Alaml Ekstrak
Anaok eidanBHAdanAskorblPalmitat
PengembangAmonium Hidrogen
Karbonat,Garam.
Mengandung alergen.lihat daftar bahan",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746605022931_jpg.rf.ed92ca5ee22a8d810e95b287720c838d.jpg,1746605022931_jpg.rf.ed92ca5ee22a8d810e95b287720c838d.jpg,"Saran Pe
enyimpanan:
INFORMASI NILAI GIZI
yah.Dibuat dengan
TakaranSa:15g
sturrenyah dan
BrowniesCrispy
JUMLAHPERSAJIAN
setiap saat.
Energi Total
Energi dari Lemak
70kkal
TEBAL HAPPYNYA
Energi darl LemakJenuh
25kkal
15kkal
LemakTotal
%AKG*
Lemak Trans
3
0
4%
LemakJenuh
2
Kolesterol
0
mg
0%
9%
Protein
KarbohldratTotal
10
9
3%
1%
Serat Pangan
Gula
3%
Garam (Natrium)
6
25
mg
9
2%
puttelur,minyak
entiaksidan tokoferol),
garam.
Hubungl Kamii
lemonilo.com
hi@lemonilo.com",3.0,70.0,70.0,10.0,6.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746605089736_jpg.rf.14011d6cdf299a36ee5e05d2ffd4c812.jpg,1746605089736_jpg.rf.14011d6cdf299a36ee5e05d2ffd4c812.jpg,"INFORMASINILAI GIZI
No.
TakaranSajl25
JUMLAHPERSAJIAN
Energi Total
pg darnlomak lenuh
110klu
5kke
akTotal
%AK
ShidratTotal
denuh
/Natrium
100mg
erdasarkankebutuhart
nenergh
srn",,110.0,,,100.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746605105440_jpg.rf.ad6bd2b33b1c5308913fb2eca3255c45.jpg,1746605105440_jpg.rf.ad6bd2b33b1c5308913fb2eca3255c45.jpg,"APHANI
INFORMASI NIEAI GIZI
an:2
MIMEMBUAT
JUMLAHPERSAJIAN
UMUTUH
Energitotat
Energi dari Lem
110
ANBAKUUTAHY
Lemaktotal
Gula
erat pangan
GaramINatriuml
Vitamindannsineral
VitaminBzIRibollavinl
Vitamin BS [Asam Pantotenat]
min B6 (Piridoksin]
Zat Besi
KOMPOSISI
RED1038
BPOMRI
GOOA
(pioaonsougegeueeMmm)
0-80018-21028
WWODIVR",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746611724732_jpg.rf.12603faca3918e63b0f4d924b1e2e8bc.jpg,1746611724732_jpg.rf.12603faca3918e63b0f4d924b1e2e8bc.jpg,"INFORMASI NILAI GIZI
JUMLAH PERSAJIAN
agkal
130kkal
Energidari lemak
saktotal
Garam(natrlum)
2%
5%
VItE
lihat daftar
ktebal
VilaninB9(AsamFokt)
dung kacang
Zat IS
Reg.Trad
its Nemi SA.
epo
COTOINT",,,2.0,,2.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746611732534_jpg.rf.2aac30e3615473984e42cc56b27f30cf.jpg,1746611732534_jpg.rf.2aac30e3615473984e42cc56b27f30cf.jpg,"61751301
INGREDIENTS:
sorbat.
WWW.S
iantmndtocopherolconcentratenafura
oanantiantcrylalma
concentrate).swestaned condensed mik
nsntidantascoryl palmitate.m
SHA).rcntainsmi,ese
ntascoriccidbakersyestal
otn.unsaltedbutter(coriains
KESERSIHA
JAGALAH
mentrate,natural
ies
INFRMASUAINUTRIIONINRMATION
Tkng（1）Srving sie（42）
Selatan,
Sulawes
sadueifes
asan/Seringperpack
Riau.Kalimantan
MLAHPERSAJIAN/AMOUNTERSERVING
Saran Penyimpa
nerTotal11kkal/TotalCalre0kcal
kesegaran prody
dan kering.Aga
1.5
2%
lama,simpan d
LemakTotal/TotalFar
Kolesterol/Cholesterol
Qmg
0 %
kontak sinar m
Lomak Jenuh/SaturatedFat
1证
4
%
berbautajam.
Protein/Protein
20g
3
KarbehidratTotal/TotalCarbohylrate
JANGAN DI
SeratPangan/DiataryFiber
3Z
BILA KEMA
Guta/Sugars
Garam(Natrlum)/ Sofium
240mg
18%",240.0,,,20.0,240.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746611762108_jpg.rf.8315c78ec571463df517045164185624.jpg,1746611762108_jpg.rf.8315c78ec571463df517045164185624.jpg,"KAM3UE
INFORMASINILAIGIZI
SEBELUM(OO/MM/YYY:
BPC
25
92
O5
(DO/MA/YY):",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746611776649_jpg.rf.11ba85fd4d827637d571bb60e0a96642.jpg,1746611776649_jpg.rf.11ba85fd4d827637d571bb60e0a96642.jpg,"GRANOI
·MISED BERRIE
INFORMASINILAIGIZI
MENGGUGAH SELERA BERKAT SUAHBERI
JUMLAHPERSAJIAN
1Sajanper
Energi total1aokkal
Energidarlemak6okkal
emaktotal
7m
10-
096
Lemak
2
Lemakjenuh
3g
3g
Protnin
279
17117
Karbohidrat total
Serat pangan
3g
DIPRODUKSIOLEH:
Garam (Natrium)
65mg
7g
min dan Mineral
4
60Moo 4、T.Plukdas
oardind
itaminB1
259%6
21140.Thaitand.
VitaminB2
Vitamin
6日
3096
ARAHPELAYANAN:
1596
Camilansendin ataudinikmall
35%6
suukedelaiatau yoghust.
enAKGberdasarkankebutuhanenergi
15%6
PUSAT KONTAK PELA
tinggatau lebih rendah.
SEBELUM(DD/MM/YY):
BAIKDIGUNAKAN
12/01/26
12/01/25
H
(DD/MM/YY):
KODEPRODUKSI",,1.0,3.0,,65.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746611789320_jpg.rf.c33ce62f4e23cd9fad93fe76ed52ed5b.jpg,1746611789320_jpg.rf.c33ce62f4e23cd9fad93fe76ed52ed5b.jpg,"Energi darllemak
Paotbonid
2%1Mr,
rattotat
wdnPewans
2.%
4%
enhat aar
33.3%
eggcetaktebal.
ngtreentsdan susu,
epo",,,2.0,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746611807238_jpg.rf.02f9f264e7be75699b908ae136d9d163.jpg,1746611807238_jpg.rf.02f9f264e7be75699b908ae136d9d163.jpg,"INFORMASINILAIGIZI
(20u)
JUMLAHOPERSAHAN
(30
rattotat
(natrium)
2%
non
hatdaftar
ILA
epo",,,,,2.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746615746284_jpg.rf.e828a913980ddd3b9c3df1d1e75be567.jpg,1746615746284_jpg.rf.e828a913980ddd3b9c3df1d1e75be567.jpg,"INFORMASINILAI GIZHNUTRITIONFACTS
TakaranSapSorvwrySe32g
7SajanperKemasan/ServingperPack
JUMLAHPERSAJIANIAMOUNTPERSERVING
EnergiTotal
Calories
160kkal
Energi dan Lemak
Calonies
omFat
sakTotal/TotalFat
persaj%DailyValue
%AKG
Protein
79
Karbohidrat Total/Total Carbohydrate
10%
229
100mg
79
250A",,160.0,,79.0,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746635873769_jpg.rf.91caec7e998bb9c86dd4ef553160241b.jpg,1746635873769_jpg.rf.91caec7e998bb9c86dd4ef553160241b.jpg,"#G
Hikikesukaan
KitaSemua
Komposisi:Jagung.Minyak Ole
Kelara
Beras.Bumbu Rasa Keju (meng
tuad%960）
sndung Paditan
Rasa(MononatriumGlutamatLnatriumyosinat
Susu,Garam,Gula.KejuBubuk
dan Dinatrium Guanilat).Pewa
naAlimkstrak
Anato Cl.No.75120）.
Mengandung
alergen,lihat
aftar bahan yang
dicetaktebal
Ingredient:Corn. PalmOleinORice.Cheese
Seasoning(containDairy olidsSalt Sugat
Lheese Powder(0.96%).
(MonosodiumGlutamate,Disodiumnosinaend
FlavaurEnharcers
ExtCl.No.75120).
ContaNallergenrefertoboldedingrednts
INFORMASINILAIG ZI
JUMLAHPERSAJIAN
sokkai
20kkal
LeimakTotal
00066
%A/CG*
4612
Gsram(natrium)
90
mg
6
%
rgi andamu
14SEP25
TGRG19A
20:23",,,,,90.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746635888494_jpg.rf.c6931c5be3211fc1d24c7234d15076a3.jpg,1746635888494_jpg.rf.c6931c5be3211fc1d24c7234d15076a3.jpg,"INFORMASINILAIGIZI/NUTRITIONFACTS
Satulagi dari
vingSizo:25g
perContainer
MAYORA
AHPERSAJIAN/AMOUNTPERSERVING
120kkal
al/TotalFat
59
%AKG-
tTotat/TotalCarbohydrate",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746635899434_jpg.rf.64e156ff2811c32147f6c4b28afe4b72.jpg,1746635899434_jpg.rf.64e156ff2811c32147f6c4b28afe4b72.jpg,"SajianperKemasan/Servingper Package
TakaranSaj/ServingSize
JUMLAHPERSAJIAN/AWOUNTPERSERVING
EnerglTotal/TotalEnergy
110Aal/l
LemakTotal/TotalFat
%AKG/NDV
LemakJenuh/SaturatedFat
79
10%
Protein/Proteln
3g
15%
KarbohidratTotal/Total Carbohydre.te
Gula/Sucar
12g
Garam(Natrium)/Salt(Sodium)
170mg
19
(25
atan
MinyakSawit
KCMPOSISI
Pati
Kentang
(44.9%)
TRHQ（E319)).
(mengandung
(E621).
Penguat
Rasat(Mononatium
Dinatrium
Inosinat
Asapl.
[Dag
(mengandungm
Bumbu
Sapl
Garam.
INGREDIENTS
Potato",12.0,110.0,79.0,3.0,170.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746635911984_jpg.rf.e2191aa017b169c237e70163ae6037eb.jpg,1746635911984_jpg.rf.e2191aa017b169c237e70163ae6037eb.jpg,"JU
INFORMASINILAIGIZI/NUTRT
JUMLAHPERSAJIAN/AMOUNTPERSERVING
n/Po
30
aratTotat/TotatCarbohtye
129
4
B
o02150
MAKLUMATPEMAKANAN/NUTRITIONINFORMATION
Seti
sap Hia:
Setiap/Per 1002
Lemuk/TutalFet
147kcal
139
21.5g
38.69
70.0g
KOMPOSISI
andung
TepungTarigunGula.LamakNabatil
EA71)TokoferolCampuran(E306)WheyBubuk.Kakao
ato.Mik)
Lomak Sayu",71.0,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746635932915_jpg.rf.2217a7030f3491306c1ce36a0fd5ec26.jpg,1746635932915_jpg.rf.2217a7030f3491306c1ce36a0fd5ec26.jpg,"INFORMASINILAIGIZI/NJITRITIONFACTS
1Salanperkemasan/Servingspercoraf
JUMLAHPERSAJIAN/AMOUNTPRSERVNG
EnergiTotal/TotalEnergy17rxkal/kc
LemakTotal/Total Fat
LemakJenuh/SaturatedFa
11g
7696
Gula/Su
49
DS
2496
159
5
D6
SILYERQUEEN
BRt",49.0,17.0,11.0,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746635962043_jpg.rf.2d27b774a3ca5f48cd8634594c34adbb.jpg,1746635962043_jpg.rf.2d27b774a3ca5f48cd8634594c34adbb.jpg,.5-0,,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746636005034_jpg.rf.268df7f7d272b851bca98c32ea043f3f.jpg,1746636005034_jpg.rf.268df7f7d272b851bca98c32ea043f3f.jpg,"INFORMASINILAI GIZI
2.5SajlanperKemasan
TakaranSajl:15g
JUMLAHPERSAJIAN
EnergiTotal
Energi dar Lemak
70kkal
Energi darl LemakJenuh
25kkal
15kkal
NTA.TEBAL HAPPYNYA
LemakTotal
3
%AKG-
LemakTrans
0
9
4%
Kolesterol
LemakJenuh
2
Protein
0
mg
Karbohidrat Total
10
1
9
1%
Serat Pangan
3%
Gula
6
1
3%
Garam (Natrium)
25
mg
2%
telur,minyak
lokidari tokoferol),
Hubungi Kami:
lemonilo.com
@elemonilo
hi@lemonilo.com
Lemanilo",6.0,,70.0,0.0,25.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746636018560_jpg.rf.b4b886c0873c08d88815a9f132b1d81d.jpg,1746636018560_jpg.rf.b4b886c0873c08d88815a9f132b1d81d.jpg,"mejji
IND
ONE
ONL
SuSi
Reroti(Mengandung
Tepung Terigu,Gula
Bubuk0.72%,Susu
Bubuk,
MengandungAntioksidan
(Amonium Bikarbonat,
Natrium Bikarbonat).Perisa Sintetia
Tokolerol),EkstrakKakao,
dicetakfebaf.
sam Lemak).
ongandungalergen,lihatdaftar
Cream71%(Contain
sning(Contain Antioxidant
Soy).
WheatFiour,Sugar
Contain
Preservative Suiphite
(ocopherol).
ninghAgents(Ammonium
r0.72%,FullCreamMitk
vder.
MaltExtract,
Sal
aticChocolate Fiavor(Contain
rodients.
LUP
INFORMASINILAI GIZI
NUTRITIONFACTS
TakaranSaji/ServingSize35g
1SajianPerKemasan/ServingPerPackage
JUMLAHPERSAJIAN/AMOUNTPERSERVING
EnergiTotal/TotalCalories
190kkal/kcal
LRIM!
90
kkal/ke
%AKG/DV
LemakTotal/TotalFat
LemakJenuh/SaturatedFat
10
10
15
Karbohidrattotal/
Protein
3
TotalCarbohydrate
SeratPangan/DietaryFiber
21
10
Salt (Sodium)
45.mg
Mineral
Peon
ZatBesl/Iron
AKGbe
tinggiat
dah",0.72,190.0,10.0,3.0,45.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746767275838_jpg.rf.864fceacee68b0f66176d6cc8c81563e.jpg,1746767275838_jpg.rf.864fceacee68b0f66176d6cc8c81563e.jpg,"1
0EF
24105
：
35
VSMASIN
Y40.
Ariur.). su415o..",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746767314620_jpg.rf.63e8d66b1f1dab6838de18928d7ff6c2.jpg,1746767314620_jpg.rf.63e8d66b1f1dab6838de18928d7ff6c2.jpg,"SNAC
MONDE
RMASINILAIGU
TRITIONFACTS
20g
AMOUNTFERSERVING
JUMLAHFERSAJIAN
EnergiTotal/TtalEnergy
(MSG).
Energldarilem:kjenuh
90kkal
20kkal
25kkal
96AKG
39
4%
Protsln
2g
11%
2g
3%
159
amo(Natrium)
20
30mg
2
ISSIN
CONSUMERC",,,,,20.0
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746767327493_jpg.rf.1f9f58381a9ade4477c4358b79e6b090.jpg,1746767327493_jpg.rf.1f9f58381a9ade4477c4358b79e6b090.jpg,"stoa.Mi
Whey3L
INFDRMASINILAIIZI
Penguat
MUTRITIONFACJS
Takoransel
20g
owing ar boganer
JUMLAHPERSAJIAN
AMOUNTPERSERVING
oorut
Enegdarlnak/Energyfrd.
Energidarienakjenuha
90kkal
fat
20kkal
20kkal
Lemnk Total
96AKG
2.5g
%Daiyi
3%
2g
11%
2g
NC
169
6%
30
35mg",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746767343151_jpg.rf.a8b720a5c1f02fc5e258a438c869b907.jpg,1746767343151_jpg.rf.a8b720a5c1f02fc5e258a438c869b907.jpg,"hoco
可
inoer
DSISI:
Terigt
8%.C
10%)
Rukisisicokelat
(EKst
#uitimot
sicoklaf
Yommy!!",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746767354910_jpg.rf.d83665ef6b124d76fef6ba6923dd4ffa.jpg,1746767354910_jpg.rf.d83665ef6b124d76fef6ba6923dd4ffa.jpg,"Esisodmc
Kal
sung Terigu.
INFORMASINILAIGIZI/NUTRITIONFACT
engembang.Per
Sintetik.
JUMLAHPERSAJIAN/AMOUNTPERSERVING
EnergiTotal/
EnergyfromfatGokk
Gandum.
LemakTotal/TotalFat
AKG/
WheatFlour.
（10%）
Sugar.Coconut
Proteit
ntheticFlavour.
Soy).
/Totat Carbohydrate
allergens,see
s
in
donesiafrom importedandlocal
Aog
BPOMRI
N",,,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746767434379_jpg.rf.e6bb58d4aa8f69595c19a87d6a38692f.jpg,1746767434379_jpg.rf.e6bb58d4aa8f69595c19a87d6a38692f.jpg,"INFORMASINILAIGIZI/NUTRTY
Serving Size 20.4g (7 Sancwi
MLAHPERSAJIAN/AMOUNTPER SERVING
Can Lemak/Energy fromFat
TotalEnergy
Por
351
KRal
AKGL
09%
tedFat
ICarbohydrates
201
ANUFACTUREDATE(DD/MM/Y)",,351.0,,,
C:\Hanif Dinata\SEMESTER 6  1 Maret 2026 -\TUGAS AKHIR\ANDROID\kemasan-model\labelGizi-images\1746767461667_jpg.rf.ebe1116adc1373debe5b8516c1e3282a.jpg,1746767461667_jpg.rf.ebe1116adc1373debe5b8516c1e3282a.jpg,"NILAIGIZI
mlahper sajl
Takaransaji
20g
LemakTotal
5 Sajianper kemasafn
nergiTotal
100kkal
45ksal",,,5.0,,
